subID,trialNum,cntBalance,correct,rt,p1conf,p2conf,p1rslt,p2rslt,
00n,1,l,undefined,788,0,1,1,1,
00n,2,l,undefined,223,1,1,0,1,
00n,3,l,undefined,18,0,0,1,1,
00n,4,l,undefined,238,0,1,0,1,
00n,5,l,undefined,307,1,1,1,1,
00n,6,l,undefined,341,1,0,0,1,
00n,7,l,undefined,737,1,1,1,1,
00n,8,l,undefined,30,1,1,1,0,
00n,9,l,undefined,164,1,1,1,1,
00n,10,l,undefined,171,0,1,1,0,
