subID,trialNum,cntBalance,correct,rt,p1conf,p2conf,p1rslt,p2rslt,
c8j,1,l,null,null,0,1,1,0,
c8j,2,l,null,null,1,0,0,1,
c8j,3,l,null,null,0,0,1,1,
c8j,4,l,null,null,0,1,1,1,
c8j,5,l,null,null,0,0,0,1,
c8j,6,l,null,null,0,1,1,1,
c8j,7,l,null,null,1,1,1,1,
c8j,8,l,null,null,1,1,1,1,
c8j,9,l,null,null,1,0,1,1,
c8j,10,l,null,null,1,0,1,1,
c8j,11,l,null,null,1,1,1,1,
c8j,12,l,null,null,0,1,1,0,
c8j,13,l,null,null,1,0,1,1,
c8j,14,l,null,null,1,1,1,1,
c8j,15,l,null,null,1,0,1,1,
c8j,16,l,null,null,1,1,1,1,
c8j,17,l,null,null,1,0,1,1,
c8j,18,l,null,null,0,1,0,1,
c8j,19,l,null,null,1,1,1,1,
c8j,20,l,null,null,1,0,1,1,
c8j,21,l,null,null,1,0,1,0,
c8j,22,l,null,null,1,1,0,1,
c8j,23,l,null,null,0,1,1,1,
c8j,24,l,null,null,1,0,1,1,
c8j,25,l,null,null,0,1,1,1,
c8j,26,l,null,null,0,1,1,1,
c8j,27,l,null,null,1,1,1,1,
c8j,28,l,null,null,0,0,1,1,
c8j,29,l,null,null,1,1,1,1,
c8j,30,l,null,null,1,0,0,0,
c8j,31,l,null,null,0,0,1,1,
c8j,32,l,null,null,1,1,1,1,
c8j,33,l,null,null,1,1,0,1,
c8j,34,l,null,null,1,1,1,0,
c8j,35,l,null,null,1,0,1,0,
c8j,36,l,null,null,0,1,0,1,
c8j,37,l,null,null,1,0,0,1,
c8j,38,l,null,null,0,1,1,1,
c8j,39,l,null,null,1,0,1,1,
c8j,40,l,null,null,1,1,1,1,
c8j,41,l,null,null,1,0,0,1,
c8j,42,l,null,null,1,0,1,0,
c8j,43,l,null,null,0,0,1,0,
c8j,44,l,null,null,0,0,1,1,
c8j,45,l,null,null,0,0,1,0,
c8j,46,l,null,null,0,0,1,1,
c8j,47,l,null,null,1,0,0,0,
c8j,48,l,null,null,0,0,0,1,
c8j,49,l,null,null,1,1,1,1,
c8j,50,l,null,null,0,0,1,1,
c8j,51,l,null,null,1,1,1,1,
c8j,52,l,null,null,0,1,1,1,
c8j,53,l,null,null,1,0,1,1,
c8j,54,l,null,null,1,0,0,1,
c8j,55,l,null,null,0,1,1,1,
c8j,56,l,null,null,0,0,0,1,
c8j,57,l,null,null,1,1,1,1,
c8j,58,l,null,null,0,1,0,1,
c8j,59,l,null,null,1,0,0,1,
c8j,60,l,null,null,1,0,1,1,
c8j,61,l,null,null,1,0,0,0,
c8j,62,l,null,null,0,0,1,1,
c8j,63,l,null,null,0,0,1,1,
c8j,64,l,null,null,1,0,1,1,
c8j,65,l,null,null,0,1,1,1,
c8j,66,l,null,null,0,1,1,1,
c8j,67,l,null,null,0,1,0,1,
c8j,68,l,null,null,0,1,1,1,
c8j,69,l,null,null,1,0,0,0,
c8j,70,l,null,null,0,1,0,0,
c8j,71,l,null,null,1,1,1,1,
c8j,72,l,null,null,0,1,0,1,
c8j,73,l,null,null,1,1,1,0,
c8j,74,l,null,null,1,1,1,0,
c8j,75,l,null,null,0,0,1,1,
c8j,76,l,null,null,1,0,0,0,
c8j,77,l,null,null,0,0,1,1,
c8j,78,l,null,null,0,0,0,1,
c8j,79,l,null,null,0,0,1,1,
c8j,80,l,null,null,0,0,1,0,
c8j,81,l,null,null,0,0,1,1,
c8j,82,l,null,null,1,1,1,1,
c8j,83,l,null,null,1,1,0,1,
c8j,84,l,null,null,0,0,0,0,
c8j,85,l,null,null,0,1,1,1,
c8j,86,l,null,null,0,0,1,1,
c8j,87,l,null,null,0,1,1,1,
c8j,88,l,null,null,1,1,1,1,
c8j,89,l,null,null,0,0,0,1,
c8j,90,l,null,null,1,0,1,0,
c8j,91,l,null,null,0,0,0,0,
c8j,92,l,null,null,0,0,1,0,
c8j,93,l,null,null,1,1,1,1,
c8j,94,l,null,null,0,0,1,1,
c8j,95,l,null,null,0,1,1,0,
c8j,96,l,null,null,0,1,1,1,
c8j,97,l,null,null,1,1,0,1,
c8j,98,l,null,null,0,1,1,0,
c8j,99,l,null,null,0,0,1,0,
c8j,100,l,null,null,0,1,1,1,
brk,brk,brk,brk,brk,brk,brk,brk,brk,
c8j,101,l,null,null,1,1,1,1,
c8j,102,l,null,null,1,0,0,0,
c8j,103,l,null,null,1,1,1,1,
c8j,104,l,null,null,0,1,1,1,
c8j,105,l,null,null,1,0,1,0,
c8j,106,l,null,null,0,1,1,0,
c8j,107,l,null,null,0,1,0,1,
c8j,108,l,null,null,0,0,0,0,
c8j,109,l,null,null,0,0,0,1,
c8j,110,l,null,null,1,0,1,0,
c8j,111,l,null,null,0,1,1,1,
c8j,112,l,null,null,0,1,1,1,
c8j,113,l,null,null,0,1,1,1,
c8j,114,l,null,null,0,1,0,1,
c8j,115,l,null,null,1,0,1,1,
c8j,116,l,null,null,1,0,1,1,
c8j,117,l,null,null,0,1,1,1,
c8j,118,l,null,null,1,0,0,1,
c8j,119,l,null,null,0,0,0,0,
c8j,120,l,null,null,0,1,1,1,
c8j,121,l,null,null,1,0,0,0,
c8j,122,l,null,null,1,0,0,1,
c8j,123,l,null,null,0,0,1,1,
c8j,124,l,null,null,1,0,1,0,
c8j,125,l,null,null,0,1,1,1,
c8j,126,l,null,null,1,0,1,0,
c8j,127,l,null,null,1,0,1,1,
c8j,128,l,null,null,1,1,1,1,
c8j,129,l,null,null,0,0,1,1,
c8j,130,l,null,null,0,0,1,0,
c8j,131,l,null,null,0,1,0,1,
c8j,132,l,null,null,0,1,1,0,
c8j,133,l,null,null,0,1,1,1,
c8j,134,l,null,null,1,1,1,1,
c8j,135,l,null,null,0,1,1,1,
c8j,136,l,null,null,1,0,1,1,
c8j,137,l,null,null,1,0,1,1,
c8j,138,l,null,null,1,0,1,1,
c8j,139,l,null,null,1,0,1,1,
c8j,140,l,null,null,0,1,0,1,
c8j,141,l,null,null,1,0,1,0,
c8j,142,l,null,null,1,1,0,1,
c8j,143,l,null,null,0,0,1,1,
