subID,trialNum,cntBalance,correct,rt,p1conf,p2conf,p1rslt,p2rslt,
afa,1,l,false,4298,0,0,1,0,
afa,2,l,true,3021,1,1,1,1,
afa,3,l,true,1817,1,0,1,1,
afa,4,l,true,3330,0,0,1,0,
afa,5,l,true,1457,0,1,1,1,
afa,6,l,false,4004,1,1,0,1,
afa,7,l,true,1611,0,1,1,1,
afa,8,l,true,1741,1,0,1,1,
afa,9,l,true,1798,1,1,1,1,
afa,10,l,true,2130,0,1,0,1,
afa,11,l,true,1490,0,0,1,1,
afa,12,l,false,1743,0,1,1,0,
afa,13,l,true,1830,0,0,1,1,
afa,14,l,true,1222,0,1,1,1,
afa,15,l,true,1527,0,1,1,1,
afa,16,l,true,1567,1,1,1,1,
afa,17,l,true,1319,1,1,1,1,
afa,18,l,true,1037,1,1,1,1,
afa,19,l,true,1382,1,0,1,1,
afa,20,l,true,1863,1,1,1,1,
afa,21,l,true,1160,1,1,1,1,
afa,22,l,true,2526,0,0,0,1,
afa,23,l,true,1990,0,0,1,0,
afa,24,l,true,1493,1,0,1,1,
afa,25,l,true,1399,1,1,1,1,
afa,26,l,true,1461,0,0,1,1,
afa,27,l,true,1160,0,0,1,1,
afa,28,l,true,2163,1,0,1,1,
afa,29,l,true,1439,1,1,1,1,
afa,30,l,true,1048,1,1,1,1,
afa,31,l,true,1341,0,1,1,1,
afa,32,l,true,1144,1,1,1,1,
afa,33,l,true,1316,1,1,1,1,
afa,34,l,true,1248,1,0,1,1,
afa,35,l,false,2561,0,0,1,0,
afa,36,l,true,3074,1,0,1,0,
afa,37,l,true,1308,0,1,1,1,
afa,38,l,false,1534,0,1,1,0,
afa,39,l,true,2286,0,0,1,1,
afa,40,l,true,2793,0,1,0,1,
afa,41,l,false,2000,1,0,0,1,
afa,42,l,false,3413,0,1,1,0,
afa,43,l,true,1331,1,1,1,1,
afa,44,l,false,2261,0,0,1,0,
afa,45,l,false,1094,0,0,0,0,
afa,46,l,false,1044,0,0,0,0,
afa,47,l,true,1428,0,0,1,1,
afa,48,l,true,1385,0,1,1,1,
afa,49,l,false,2014,0,0,1,0,
afa,50,l,true,1264,0,0,1,1,
afa,51,l,false,1446,1,0,0,1,
afa,52,l,true,4852,0,0,1,0,
afa,53,l,false,1819,0,1,1,0,
afa,54,l,true,1337,1,1,1,1,
afa,55,l,true,2045,0,1,1,1,
afa,56,l,true,1908,1,0,1,1,
afa,57,l,true,1174,0,0,1,1,
afa,58,l,false,2295,0,1,1,0,
afa,59,l,true,1446,1,0,1,1,
afa,60,l,true,1194,1,0,1,1,
afa,61,l,true,1308,0,0,1,1,
afa,62,l,true,1358,0,0,1,1,
afa,63,l,false,3151,1,0,0,1,
afa,64,l,true,4815,1,0,1,0,
afa,65,l,false,2757,0,0,0,1,
afa,66,l,false,4535,1,1,0,1,
afa,67,l,false,2573,0,0,1,0,
afa,68,l,true,2800,0,1,1,1,
afa,69,l,true,1318,0,1,1,1,
afa,70,l,true,1256,1,1,1,1,
afa,71,l,true,3397,0,0,1,0,
afa,72,l,true,2143,1,0,1,1,
afa,73,l,false,1574,1,0,0,0,
afa,74,l,true,3078,0,1,0,1,
afa,75,l,true,2991,0,1,1,1,
afa,76,l,true,6367,0,1,0,1,
afa,77,l,false,1406,0,0,0,0,
afa,78,l,true,1756,0,1,1,1,
afa,79,l,false,2932,0,1,1,0,
afa,80,l,true,1740,0,0,1,1,
afa,81,l,true,3435,1,1,1,1,
afa,82,l,true,1499,1,0,1,1,
afa,83,l,true,1944,1,0,1,0,
afa,84,l,false,1470,1,1,0,0,
afa,85,l,true,1576,1,1,1,1,
afa,86,l,true,1368,0,1,1,1,
afa,87,l,true,1581,1,0,1,1,
afa,88,l,true,3814,0,0,1,0,
afa,89,l,true,1412,1,1,1,1,
afa,90,l,true,2575,1,0,1,0,
afa,91,l,false,2095,1,0,0,1,
afa,92,l,true,1429,1,1,1,1,
afa,93,l,true,3456,1,0,1,0,
afa,94,l,false,3335,0,1,1,0,
afa,95,l,true,3071,1,0,1,1,
afa,96,l,true,1606,0,0,1,1,
afa,97,l,true,2155,0,1,0,1,
afa,98,l,true,949,1,1,1,1,
afa,99,l,true,1192,1,0,1,1,
afa,100,l,true,1141,0,1,1,1,
brk,brk,brk,brk,brk,brk,brk,brk,brk,
afa,101,l,true,3977,0,0,1,1,
afa,102,l,true,980,0,0,1,1,
afa,103,l,true,903,0,0,1,1,
afa,104,l,true,1706,0,0,0,1,
afa,105,l,true,2146,0,0,1,0,
afa,106,l,true,1102,1,1,1,1,
afa,107,l,true,1073,0,0,1,1,
afa,108,l,false,3236,1,1,0,1,
afa,109,l,false,1479,0,0,0,1,
afa,110,l,true,2598,1,1,1,0,
afa,111,l,true,1699,1,1,1,1,
afa,112,l,true,1161,0,0,1,1,
afa,113,l,true,1637,0,0,1,1,
afa,114,l,true,1325,1,1,1,1,
afa,115,l,true,3010,1,1,1,0,
afa,116,l,true,1944,1,0,1,1,
afa,117,l,true,1238,0,1,1,1,
afa,118,l,false,2587,0,0,0,1,
afa,119,l,true,1183,1,0,1,1,
afa,120,l,true,1426,0,1,0,1,
afa,121,l,false,1246,1,1,0,0,
afa,122,l,false,3813,1,0,0,0,
afa,123,l,true,1113,1,1,1,1,
afa,124,l,false,1659,1,0,0,1,
afa,125,l,true,1758,0,1,0,1,
afa,126,l,true,1558,1,1,1,1,
afa,127,l,true,1177,1,1,1,1,
afa,128,l,true,1451,0,1,1,1,
afa,129,l,true,1781,0,1,1,1,
afa,130,l,false,1751,1,0,0,0,
afa,131,l,true,1958,1,1,0,1,
afa,132,l,true,2078,1,0,1,0,
afa,133,l,true,1645,1,1,1,1,
afa,134,l,true,1573,1,0,1,1,
