subID,trialNum,cntBalance,correct,rt,winner,p1conf,p2conf,p1rslt,p2rslt,
ynb,1,R,false,4447,1,1,0,1,0,
ynb,2,R,false,2882,1,1,1,1,1,
ynb,3,R,true,1234,1,1,0,1,1,
ynb,4,R,false,2656,1,0,0,0,0,
ynb,5,R,true,1498,1,1,1,0,1,
ynb,6,R,false,2039,2,1,0,1,1,
ynb,7,R,false,722,1,1,1,1,1,
ynb,8,R,false,610,2,1,0,1,1,
ynb,9,R,false,160,1,0,0,1,0,
ynb,10,R,false,465,2,1,0,1,1,
ynb,11,R,false,1952,1,0,0,1,1,
ynb,12,R,true,2326,1,1,0,1,1,
ynb,13,R,false,1723,2,0,0,1,1,
ynb,14,R,true,55577,1,1,1,1,1,
ynb,15,R,false,2057,1,1,1,1,0,
ynb,16,R,false,1268,2,0,0,1,0,
ynb,17,R,true,6106,2,0,1,0,1,
ynb,18,R,true,1584,2,1,1,1,1,
ynb,19,R,true,1172,2,0,0,1,1,
ynb,20,R,true,23812,2,1,0,1,0,
ynb,21,R,true,24044,2,0,0,1,1,
ynb,22,R,false,3429,2,1,1,0,0,
ynb,23,R,true,3185,2,0,1,1,1,
ynb,24,R,true,1730,2,1,0,1,1,
ynb,25,R,true,3810,2,1,0,1,1,
ynb,26,R,true,2005,1,0,0,1,0,
ynb,27,R,true,1281,1,0,1,1,1,
ynb,28,R,true,3954,1,1,0,1,0,
ynb,29,R,true,1679,1,0,0,1,0,
ynb,30,R,true,1234,1,1,1,0,1,
ynb,31,R,true,1218,1,0,0,1,1,
ynb,32,R,false,24481,2,0,0,0,0,
ynb,33,R,true,3047,2,0,1,0,1,
ynb,34,R,false,1416,1,0,0,0,0,
ynb,35,R,true,1165,1,1,1,0,1,
ynb,36,R,false,2082,2,1,0,1,0,
ynb,37,R,false,4166,2,1,1,1,0,
ynb,38,R,true,1048,2,1,0,1,1,
ynb,39,R,true,15731,1,0,1,1,1,
ynb,40,R,true,1623,1,0,1,1,1,
ynb,41,R,true,1580,2,1,1,1,1,
ynb,42,R,true,2193,2,1,1,1,0,
ynb,43,R,true,2690,2,1,1,0,1,
ynb,44,R,true,1777,1,0,0,1,1,
ynb,45,R,false,1949,2,1,0,0,1,
ynb,46,R,true,26886,2,0,0,1,1,
ynb,47,R,false,1579,2,1,0,0,0,
ynb,48,R,true,1279,1,1,0,1,0,
ynb,49,R,false,674,2,1,1,1,0,
ynb,50,R,true,1428,1,0,1,0,1,
ynb,51,R,true,2757,2,0,1,0,1,
ynb,52,R,true,1666,1,1,0,1,1,
