subID,trialNum,cntBalance,correct,rt,winner,p1conf,p2conf,p1rslt,p2rslt,
f88,136,R,true,1136,1,1,0,0,0,
f88,137,R,true,865,2,0,1,0,1,
f88,138,R,true,705,2,0,1,0,1,
f88,139,R,true,1280,2,1,0,1,0,
f88,140,R,true,1095,1,0,1,0,1,
f88,141,R,false,1224,2,1,1,1,0,
f88,142,R,false,1082,2,0,0,1,1,
f88,143,R,false,2310,1,0,0,0,1,
f88,144,R,true,2439,1,1,0,1,1,
f88,145,R,true,1176,2,0,1,0,1,
f88,146,R,false,5024,2,0,0,0,0,
f88,147,R,true,1313,1,0,1,1,1,
f88,148,R,false,1604,1,0,0,1,0,
f88,149,R,false,1040,1,1,0,0,1,
f88,150,R,true,1264,1,0,0,1,1,
f88,151,R,false,1489,1,0,0,1,1,
f88,152,R,false,1904,1,1,1,1,0,
f88,153,R,false,1664,1,0,0,0,0,
f88,154,R,false,2406,1,0,0,0,1,
f88,155,R,true,968,1,1,1,1,1,
f88,156,R,false,2074,2,1,0,1,1,
f88,157,R,true,943,2,1,0,1,0,
f88,158,R,true,1255,2,0,1,1,1,
f88,159,R,true,2495,2,0,0,1,1,
f88,160,R,true,1060,2,1,0,1,1,
f88,161,R,true,1312,2,0,1,0,1,
f88,162,R,true,2547,2,1,0,1,1,
f88,163,R,true,1166,1,1,1,1,1,
f88,164,R,true,1883,1,1,0,1,0,
f88,165,R,false,2646,1,0,0,0,1,
f88,166,R,false,2291,1,0,0,1,0,
f88,167,R,true,2451,2,1,0,1,1,
f88,168,R,true,6535,1,0,0,1,0,
f88,169,R,true,1109,2,0,1,1,1,
f88,170,R,true,943,1,0,0,1,1,
f88,171,R,true,1758,2,0,1,1,1,
f88,172,R,false,1215,1,1,0,0,0,
f88,173,R,true,979,2,1,1,1,1,
f88,174,R,true,928,1,0,0,1,1,
f88,175,R,true,1806,2,1,0,1,1,
f88,176,R,true,1984,1,1,0,1,0,
f88,177,R,true,1363,2,1,1,1,1,
f88,178,R,false,3501,1,1,1,1,0,
f88,179,R,true,1779,1,0,1,0,1,
f88,180,R,true,988,1,0,1,1,1,
f88,181,R,false,1981,1,0,0,0,1,
f88,182,R,true,1488,2,0,1,1,1,
f88,183,R,true,1425,1,0,1,1,1,
f88,184,R,true,3384,2,0,0,1,1,
f88,185,R,true,3109,2,0,1,1,1,
f88,186,R,true,1800,2,0,0,1,1,
f88,187,R,false,3685,2,1,0,0,0,
f88,188,R,true,1869,2,1,1,0,1,
f88,189,R,true,1250,1,1,1,1,1,
f88,190,R,true,748,2,1,1,1,1,
f88,191,R,true,926,2,1,0,0,0,
f88,192,R,false,1706,2,0,0,1,1,
f88,193,R,true,3752,1,1,0,1,1,
f88,194,R,true,1712,2,0,1,1,1,
f88,195,R,true,8772,1,1,0,1,0,
f88,196,R,true,1044,2,1,0,1,0,
f88,197,R,true,1263,1,1,1,1,1,
f88,198,R,true,1481,2,0,1,1,1,
f88,199,R,true,1270,2,0,0,1,1,
f88,200,R,false,1967,2,0,1,1,0,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
f88,201,R,false,7934,2,1,1,1,0,
f88,202,R,true,2180,2,1,0,1,1,
f88,203,R,true,3168,1,0,0,1,0,
f88,204,R,true,1369,2,1,0,1,0,
f88,205,R,true,1271,1,1,1,1,1,
