36513.75,37041.5,527.75,37067.75,37172.25,104.5,34164.5,34675.75,511.25,34665,34764,99,34708,35218.5,510.5,35174.25,35267.75,93.5
37427.75,37955.5,527.75,37988.5,38091.25,102.75,35029,35540,511,35535.25,35634,98.75,35539,36049.75,510.75,35999.25,36093.5,94.25
38358.75,38886.5,527.75,38908.5,39012.25,103.75,35893.25,36387.75,494.5,36385.25,36484,98.75,36370.25,36898,527.75,36852.75,36947,94.25
39289.5,39800.75,511.25,39828.5,39932.25,103.75,36757.75,37268.75,511,37255.25,37354,98.75,37234.5,37745.75,511.25,37708.5,37802,93.5
40203.75,40715,511.25,40748.5,40852.25,103.75,37622,38149.75,527.75,38125.25,38224,98.75,38082.25,38610,527.75,38563.75,38658,94.25
41135.25,41645.75,510.5,41667.75,41772.25,104.5,38503,38997.5,494.5,38995.25,39094,98.75,38963.25,39474.5,511.25,39423.75,39518,94.25
42049.25,42560,510.75,42588.5,42691.25,102.75,39367.5,39878.5,511,39875.25,39974,98.75,39811,40322.25,511.25,40274.75,40368.75,94
42963.5,43474.25,510.75,43507.75,43612.25,104.5,40248.25,40758.75,510.5,40755.25,40854,98.75,40658.75,41169.25,510.5,41135.5,41229.75,94.25
43894,44405,511,44428.5,44532.25,103.75,41129.25,41657.25,528,41655.25,41754,98.75,41506.5,42017.5,511,41972.5,42066.75,94.25
44808.25,45319.25,511,45347.75,45452.25,104.5,42043.5,42554.25,510.75,42545.25,42644,98.75,42354.25,42865.25,511,42816,42910.25,94.25
45722.5,46233.5,511,46267.75,46371.25,103.5,42924.5,43435.75,511.25,43435.25,43534,98.75,43219,43713,494,43672.5,43766.75,94.25
46636.75,47164.25,527.5,47188.5,47292.5,104,43822.25,44333.25,511,44325.25,44424,98.75,44066.5,44560.75,494.25,44526,44620.25,94.25
47567.5,48078.25,510.75,48108.5,48212.25,103.75,44703.25,45214.25,511,45205.25,45304,98.75,44914.25,45425.25,511,45376.25,45470.5,94.25
48481.75,48992.25,510.5,49028.5,49132.25,103.75,45584.25,46094.75,510.5,46095.25,46194,98.75,45762,46273,511,46228.25,46322.5,94.25
49396,49923.75,527.75,49948.5,50052.5,104,46481.75,46993,511.25,46995.25,47094,98.75,46609.75,47120.5,510.75,47075,47169.25,94.25
50310.25,50821.25,511,50848.5,50952.5,104,47362.75,47874,511.25,47875.25,47974,98.75,47457.5,47968.5,511,47929.25,48023.5,94.25
51224.5,51735.5,511,51768.5,51872.25,103.75,48260.25,48771.5,511.25,48755.25,48854,98.75,48321.75,48832.75,511,48786.25,48880.5,94.25
52155.25,52666.5,511.25,52688.5,52792.5,104,49124.75,49635.25,510.5,49635.25,49734,98.75,49170,49664,494,49622.25,49716.25,94
53069.5,53580.5,511,53608,53712.5,104.5,50005.75,50516.75,511,50495.25,50594,98.75,50017.25,50528.25,511,50482.75,50577,94.25
