2331.5,2828.25,496.75,2862.75,2957.5,94.75,727.5,1204,476.5,1189.75,1285.75,96,1310,1822.5,512.5,1907.75,2003.75,96
3215.25,3711.75,496.5,3745,3841,96,1576.75,2071,494.25,2037.25,2132,94.75,2276.75,2772.75,496,2917.75,2996.5,78.75
4098.75,4595.25,496.5,4627.5,4723.5,96,2427.25,2921.25,494,2884.75,2979.5,94.75,3277,3773,496,3913.25,3991,77.75
4965.75,5478.75,513,5509.75,5605.75,96,3276.25,3772,495.75,3732.25,3827,94.75,4260.5,4773.25,512.75,4910,4987.5,77.5
5866,6362.5,496.5,6392.25,6488.25,96,4125.5,4622.75,497.25,4579.75,4674.5,94.75,5260.75,5756.75,496,5904.25,5983,78.75
6733,7229.25,496.25,7274.5,7369.5,95,4975,5473.25,498.25,5438.75,5533.75,95,6260.75,6757,496.25,6902,6978.5,76.5
7616.75,8112.75,496,8157,8252.75,95.75,5824.75,6323.75,499,6286.5,6381.25,94.75,7261,7757.25,496.25,7894.25,7974.25,80
8500.25,9013,512.75,9039.25,9135.25,96,6674.5,7174,499.5,7145.5,7240.25,94.75,8244.5,8740.75,496.25,8888,8966.75,78.75
9383.75,9896.5,512.75,9921.5,10017.5,96,7541.25,8041,499.75,8004.75,8099.5,94.75,9244.75,9741,496.25,9879.5,9959.5,80
10267.25,10763.25,496,10804,10899.75,95.75,8391.25,8891.25,500,8852.25,8947,94.75,10228,10741.25,513.25,10877.25,10955,77.75
11150.5,11646.75,496.25,11686.25,11782.25,96,9241.5,9741.5,500,9711.25,9807.25,96,11228.5,11725,496.5,11871.75,11950.5,78.75
12034,12530.5,496.5,12568.5,12664.5,96,10108.5,10608.5,500,10570.5,10665.25,94.75,12228.5,12725.25,496.75,12866.25,12946,79.75
12917.25,13414,496.75,13451,13547,96,10958.5,11458.5,500,11429.5,11524.5,95,13212.25,13725.5,513.25,13860,13938.75,78.75
13800.75,14297.5,496.75,14333.25,14429.25,96,11808.75,12308.75,500,12277,12373,96,14212.25,14709,496.75,14856.75,14934.25,77.5
14684.5,15181.25,496.75,15215.75,15311.5,95.75,12659,13159,500,13124.5,13219.5,95,15212.5,15709.5,497,15853.25,15929.75,76.5
15567.75,16065,497.25,16098,16194,96,13509.25,14009.25,500,13972.25,14067,94.75,16212.75,16709.75,497,16847.75,16925.25,77.5
16451.5,16948.5,497,16980.25,17075.25,95,14359.25,14859.5,500.25,14831.25,14926,94.75,17196.5,17693.25,496.75,17842.25,17920.75,78.5
17318.5,17832,513.5,17862.75,17958.75,96,15209.5,15726.5,517,15678.75,15774.75,96,18196.75,18693.5,496.75,18838.75,18916.5,77.75
18202,18715.5,513.5,18745.25,18841,95.75,16059.75,16560,500.25,16526.25,16621.25,95,19197,19694,497,19833.25,19912,78.75
19085.75,19599,513.25,19627.5,19723.25,95.75,16910,17410.25,500.25,17374,17469.75,95.75,20180.75,20694,513.25,20828.75,20907.5,78.75
19969.25,20466,496.75,20509.75,20605.75,96,17760.25,18260.5,500.25,18221.5,18316.25,94.75,21181,21677.75,496.75,21823.25,21902,78.75
20852.75,21366.25,513.5,21392.25,21488,95.75,18610.25,19110.5,500.25,19069,19163.75,94.75,22181.25,22678,496.75,22819,22894.75,75.75
21736.5,22233,496.5,22274.5,22369.25,94.75,19444,19960.75,516.75,19916.5,20011.25,94.75,23165,23678,513,23813.75,23890.25,76.5
22620.25,23116.5,496.25,23157,23252.75,95.75,20294,20811.25,517.25,20764,20858.75,94.75,24165.25,24661.75,496.5,24801.25,24881,79.75
23504,24000,496,24039.25,24135,95.75,21144.25,21644.75,500.5,21611.5,21706.25,94.75,25148.75,25662,513.25,25797.75,25876.5,78.75
24387.5,24883.5,496,24921.5,25016.5,95,21994.5,22494.75,500.25,22459,22555,96,26149.25,26645.5,496.25,26790.5,26869.25,78.75
25271,25767,496,25804,25898.75,94.75,22844.5,23345,500.5,23306.5,23402.5,96,27149.5,27645.75,496.25,27786,27864.75,78.75
26154.5,26650.75,496.25,26686.25,26782.25,96,23694.75,24195.25,500.5,24154,24250,96,28133,28646,513,28780.75,28857.5,76.75
27038,27534.25,496.25,27568.5,27663.5,95,24545,25045.5,500.5,25001.5,25096.5,95,29133.25,29629.5,496.25,29774.25,29853,78.75
27921.5,28417.75,496.25,28451,28547,96,25378.5,25879,500.5,25849,25944,95,30133.5,30629.75,496.25,30771,30848.5,77.5
28805,29301.25,496.25,29333.25,29429.25,96,26228.75,26729.25,500.5,26696.5,26792.5,96,31117.25,31630,512.75,31766.5,31843,76.5
29671.75,30168,496.25,30215.75,30310.5,94.75,27079,27579.25,500.25,27555.75,27650.5,94.75,32117.5,32613.5,496,32763,32839.5,76.5
30555.25,31068.25,513,31098,31192.75,94.75,27946,28446.25,500.25,28415,28510.75,95.75,33117.75,33613.75,496,33753.5,33831.25,77.75
31438.75,31951.75,513,31980.25,32076.25,96,28812.75,29313.25,500.5,29274,29370,96,34101.5,34597.25,495.75,34747.25,34825,77.75
32322.25,32835.25,513,32862.75,32958.5,95.75,29663,30163.25,500.25,30133.25,30228,94.75,35101.75,35597.5,495.75,35740,35817.5,77.5
33205.5,33702.25,496.75,33745,33841,96,30530,31030.25,500.25,30992.25,31087,94.75,36085.25,36581,495.75,36730.25,36810.25,80
34089.25,34586,496.75,34627.5,34723.25,95.75,31380,31880.5,500.5,31839.75,31934.75,95,37085.25,37581.25,496,37725.25,37802.75,77.5
34972.75,35469.5,496.75,35509.75,35605.75,96,32230.25,32730.75,500.5,32698.75,32793.75,95,38069,38565,496,38717.75,38795.5,77.75
