9089.75,9103,13.25,9035.5,9200.25,164.75,7381.5,7395,13.5,7344,7491.75,147.75,7885.75,7916,30.25,7865.5,8029.25,163.75,7584.75,7598.5,13.75,7548,7695.25,147.25,7084.75,7114.25,29.5,7064,7211.5,147.5,6922.25,6935.5,13.25,6902.25,7049.5,147.25
9456.25,9469.75,13.5,9402.25,9567,164.75,7731.25,7745,13.75,7694.25,7842,147.75,8252.25,8282.75,30.5,8232.25,8396.25,164,7934.75,7948.5,13.75,7898,8045.5,147.5,7451.5,7464.25,12.75,7430.75,7578.25,147.5,7272.25,7285.5,13.25,7235.75,7399.5,163.75
9806.5,9819.75,13.25,9769,9933.5,164.5,8081.5,8095,13.5,8044.25,8192,147.75,8619,8649.5,30.5,8599,8763,164,8285,8298.5,13.5,8248,8395.5,147.5,7818.25,7830.75,12.5,7781.25,7928.25,147,7622.25,7635.5,13.25,7585.75,7749.5,163.75
10189.75,10203.25,13.5,10135.75,10300.5,164.75,8431.75,8445.25,13.5,8394.5,8542,147.5,8986,9016.25,30.25,8965.75,9129.75,164,8651.75,8665.25,13.5,8615,8762.25,147.25,8168.5,8181,12.5,8147.75,8295,147.25,7972.25,7985.75,13.5,7936,8099.5,163.5
10556.5,10570,13.5,10502.5,10667,164.5,8781.5,8795.25,13.75,8744.5,8892,147.5,9369.25,9382.75,13.5,9332.5,9496.5,164,9001.75,9015.5,13.75,8965,9112.25,147.25,8535,8547.75,12.75,8498,8661.75,163.75,8322.25,8335.75,13.5,8286,8449.75,163.75
10923.25,10936.75,13.5,10869.25,11034,164.75,9131.75,9145.25,13.5,9094.5,9242.25,147.75,9736.25,9749.5,13.25,9699.25,9879.75,180.5,9352,9365.75,13.75,9315,9462.5,147.5,8885,8914.5,29.5,8864.75,9011.75,147,8672.5,8686,13.5,8636,8783,147
11273.5,11287,13.5,11236,11400.5,164.5,9498.25,9512,13.75,9461.25,9609,147.75,10103,10133,30,10082.75,10246.5,163.75,9702,9715.75,13.75,9665,9812.5,147.5,9251.75,9264.5,12.75,9231.5,9378.5,147,9022.5,9036,13.5,8986,9149.75,163.75
11656.75,11670.25,13.5,11602.5,11767.5,165,9848.5,9862.25,13.75,9811.5,9959,147.5,10486.5,10499.75,13.25,10449.5,10613.5,164,10052,10065.75,13.75,10031.75,10162.75,131,9601.5,9631.5,30,9581.5,9728.5,147,9372.75,9386.25,13.5,9352.75,9500,147.25
12006.75,12020.5,13.75,11986,12134.25,148.25,10198.5,10212.25,13.75,10161.5,10309,147.5,10836.25,10866.75,30.5,10816.25,10980.25,164,10402,10416,14,10382,10529.5,147.5,9968.25,9981.5,13.25,9948.25,10095.25,147,9739.5,9753,13.5,9702.75,9850,147.25
12373.5,12387.25,13.75,12336.25,12500.75,164.5,10548.5,10562.25,13.75,10511.75,10659,147.25,11203,11233.25,30.25,11183,11330.25,147.25,10768.75,10782.75,14,10732,10879.5,147.5,10335,10348.25,13.25,10298.25,10462,163.75,10089.5,10103,13.5,10053,10216.75,163.75
12740.25,12754,13.75,12719.75,12867.5,147.75,10898.5,10912.25,13.75,10861.75,10992.5,130.75,11569.75,11583.25,13.5,11533.25,11697,163.75,11119,11132.75,13.75,11082,11229.75,147.75,10684.75,10698.25,13.5,10665,10812.25,147.25,10439.5,10453,13.5,10403,10550.25,147.25
13107,13137.5,30.5,13086.5,13234.25,147.75,11248.75,11262.25,13.5,11212,11359.25,147.25,11936.5,11950,13.5,11900,12063.75,163.75,11469.25,11482.75,13.5,11432,11579.75,147.75,11051.5,11065.25,13.75,11015,11179,164,10789.75,10803.25,13.5,10753,10917,164
13490.5,13504,13.5,13453.25,13617.75,164.5,11599,11612.5,13.5,11545.5,11709.25,163.75,12303.25,12316.75,13.5,12266.75,12430.5,163.75,11819.25,11833,13.75,11799,11929.75,130.75,11402,11432.25,30.25,11381.25,11529,147.75,11139.75,11153.25,13.5,11103.25,11267,163.75
13874,13887.5,13.5,13820,13984.5,164.5,11949,11962.5,13.5,11912.25,12042.75,130.5,12670.25,12683.5,13.25,12633.5,12814,180.5,12169.25,12183,13.75,12132.25,12280,147.75,11768.5,11782,13.5,11731.75,11895.75,164,11489.75,11503.25,13.5,11453.25,11617.25,164
14223.75,14237.5,13.75,14203.5,14351.25,147.75,12282.5,12312.75,30.25,12262.25,12392.75,130.5,13037,13067,30,13017,13180.75,163.75,12536,12549.75,13.75,12515.75,12663.25,147.5,12118.75,12149,30.25,12098.25,12246,147.75,11840,11853.5,13.5,11820,11967.25,147.25
14590.5,14604.5,14,14553.5,14718,164.5,12632.5,12662.75,30.25,12595.75,12759.5,163.75,13420.5,13450.5,30,13383.5,13547.5,164,12886.25,12899.75,13.5,12849,12996.75,147.75,12485.5,12499,13.5,12465,12612.75,147.75,12190,12203.5,13.5,12153.25,12300.75,147.5
14957.25,14971,13.75,14937,15084.75,147.75,12982.5,12996,13.5,12962.5,13109.75,147.25,13787.25,13800.5,13.25,13750.25,13914.25,164,13236.25,13250,13.75,13216,13363.5,147.5,12835.75,12865.75,30,12815.25,12963,147.75,12540,12553.5,13.5,12503.5,12667.5,164
15324.25,15354.75,30.5,15303.75,15451.5,147.75,13366,13379.5,13.5,13312.5,13459.75,147.25,14154,14167.25,13.25,14117.25,14281,163.75,13586.25,13600,13.75,13566,13697,131,13202.75,13215.75,13,13182,13329.75,147.75,12890.25,12903.75,13.5,12853.5,13017.5,164
15707.5,15721.25,13.75,15670.5,15834.75,164.25,NA,NA,NA,13679.5,13810,130.5,14520.75,14534,13.25,14484,14647.75,163.75,13936.5,13950,13.5,13899.5,14047,147.5,13569.5,13582.5,13,13532.25,13679.75,147.5,13240.25,13253.75,13.5,13203.5,13367.5,164
16091,16104.75,13.75,16037.5,16201.5,164,14049.5,14063,13.5,14012.75,14176.75,164,14887.5,14900.75,13.25,14850.75,15014.5,163.75,14286.5,14300.25,13.75,14249.5,14397,147.5,13920,13932.5,12.5,13899,14046.5,147.5,13590.25,13604,13.75,13553.75,13717.75,164
16441,16454.75,13.75,16421,16568.25,147.25,14416.25,14429.5,13.25,14379.5,14526.75,147.25,15237.75,15267.5,29.75,15217.5,15381.25,163.75,14636.5,14650.25,13.75,14599.5,14747.25,147.75,14286.5,14299.25,12.75,14249.25,14413.25,164,13940.5,13954,13.5,13920.5,14067.75,147.25
16807.75,16838.25,30.5,16787.75,16935,147.25,14766.5,14779.75,13.25,14729.75,14876.75,147,15604.5,15634.5,30,15584.25,15748,163.75,14986.75,15000.25,13.5,14949.75,15097.25,147.5,14636.5,14649.25,12.75,14616,14763.25,147.25,14307,14320.75,13.75,14270.5,14434.5,164
