8547.25,8570,22.75,8521.5,8665,143.5,7520.5,7524.75,4.25,7477.5,7620.75,143.25,7989,8009,20,7963.75,8120.75,157,7021,7027.75,6.75,6980,7123.5,143.5,7837.5,7862.75,25.25,7813.75,7957.25,143.5,7457.75,7464.25,6.5,7416.75,7560,143.25
8931.25,8936.25,5,8889,9049.25,160.25,7871,7875.25,4.25,7828.25,7971.5,143.25,8372.75,8375.5,2.75,8331.25,8488.25,157,7371.75,7378.5,6.75,7330.75,7474.25,143.5,8205,8230.25,25.25,8181.5,8341.5,160,7808.25,7814.75,6.5,7767.75,7910.75,143
9298.5,9321.5,23,9273,9416.75,143.75,8221.25,8226,4.75,8179,8322.5,143.5,8740.25,8760.75,20.5,8698.25,8872.25,174,7738.75,7746,7.25,7698.25,7841.5,143.25,8589.25,8596.5,7.25,8548.5,8709,160.5,8158.75,8165.75,7,8118,8261.5,143.5
9682.25,9687.75,5.5,9640.5,9800.75,160.25,8572,8576.75,4.75,8529.75,8673.25,143.5,9107.75,9128.25,20.5,9082.5,9239.75,157.25,8089.25,8096.75,7.5,8048.75,8192.25,143.5,8956.75,8964,7.25,8916,9076.25,160.25,NA,NA,NA,8485.5,8629,143.5
10049.25,10073.25,24,10024.5,10168.25,143.75,8922.75,8927.5,4.75,8880.5,9023.75,143.25,9492.5,9494.5,2,9449.75,9607.25,157.5,8440.25,8447.25,7,8399.25,8543,143.75,9323.75,9349,25.25,9284,9443.75,159.75,8860,8867.25,7.25,8836.5,8996.25,159.75
10433.75,10439.5,5.75,10392,10552.25,160.25,9273,9278.5,5.5,9231.25,9374.75,143.5,9859.75,9862.25,2.5,9834.25,9974.75,140.5,8790.75,8798.25,7.5,8749.75,8893.75,144,9691,9698.75,7.75,9651.75,9811.25,159.5,9227.5,9234.75,7.25,9187.25,9347,159.75
10800.75,10825,24.25,10776,10919.75,143.75,9640.25,9645.75,5.5,9598.5,9742,143.5,10226.75,10229.5,2.75,10184.75,10342.25,157.5,9141.75,9148.75,7,9118.25,9244.5,126.25,10059.5,10066,6.5,10019,10178.75,159.75,9578.5,9585.5,7,9537.5,9697.75,160.25
11185.25,11191.25,6,11160,11304,144,9991,9996.5,5.5,9949,10092.75,143.75,10593.5,10597,3.5,10568.75,10726.25,157.5,9509.25,9516.25,7,9469,9612,143,10427,10433.75,6.75,10386.5,10546.25,159.75,9929,9936.25,7.25,9905,10032,127
11568.75,11575.25,6.5,11527.25,11688.25,161,10341.75,10347.25,5.5,10300,10443.5,143.5,10977.25,10981.25,4,10936.5,11093.75,157.25,9860,9867,7,9820,9962.75,142.75,10794.5,10801.25,6.75,10753.75,10913.75,160,10279.25,10287,7.75,10255.75,10382.75,127
11936.5,11960.5,24,11911,12072.25,161.25,10692.5,10698.25,5.75,10650.5,10794.25,143.75,11345,11348.75,3.75,11321.25,11461,139.75,10211.5,10217.75,6.25,10170.5,10313.5,143,11161.75,11168.5,6.75,11137.5,11281.25,143.75,10629.75,10637.5,7.75,10590.5,10733.5,143
12322,12344.5,22.5,12295.25,12439.75,144.5,11043.75,11049,5.25,11001.5,11145,143.5,11715.25,11734,18.75,11671.75,11845.25,173.5,10562.5,10568.5,6,10521.25,10664.25,143,11529,11536,7,11505,11648.5,143.5,10981.75,10988.25,6.5,10941.25,11101,159.75
12706,12711,5,12680.5,12824,143.5,11394,11399.75,5.75,11352.25,11495.75,143.5,12099,12118,19,12056.25,12229.5,173.25,10913.25,10919.25,6,10872,11015,143,11896.25,11903.5,7.25,11872.5,12016,143.5,11333,11357,24,11308.75,11451.5,142.75
13090,13095,5,13048,13208.25,160.25,11744.75,11750.5,5.75,11703,11846.5,143.5,12466.5,12485.5,19,12440.5,12597,156.5,11281,11286.75,5.75,11239.5,11382.5,143,12264,12271,7,12240,12383.25,143.25,NA,NA,NA,11659.25,11802.5,143.25
13457,13480.5,23.5,13431.75,13575.5,143.75,12095.5,12101.25,5.75,12053.5,12197.25,143.75,12850,12852,2,12807.75,12964.25,156.5,11631.5,11637.5,6,11590,11733.25,143.25,12631,12656.25,25.25,12607.25,12750.75,143.5,12050.75,12057.25,6.5,12026.5,12170,143.5
13841.25,13846.75,5.5,13816,13959.75,143.75,12446,12452,6,12404.25,12548,143.75,13217.5,13219.25,1.75,13191.75,13331.75,140,11982,11988.25,6.25,11940.75,12084,143.25,12998.75,13023.75,25,12974.75,13118.25,143.5,12401.25,12408,6.75,12360.5,12504,143.5
14208,14232,24,14183.25,14343.75,160.5,12796.5,12802.75,6.25,12755,12898.75,143.75,13584.5,13604.25,19.75,13559.25,13699.25,140,12349.25,12355.75,6.5,12308.25,12451.5,143.25,13365.5,13391,25.5,13342.75,13485.75,143,12752,12758.75,6.75,12711.25,12854.75,143.5
14592.25,14598.25,6,14567.25,14711.25,144,13149,13153.5,4.5,13105.75,13249.5,143.75,13951.5,13971.75,20.25,13926.25,14083.5,157.25,12700,12706.5,6.5,12659,12819,160,13733.25,13758.5,25.25,13710,13853.25,143.25,13102.75,13109.5,6.75,13062,13222,160
14976.75,14982.5,5.75,14935,15095.5,160.5,13516.5,13520.75,4.25,13473.75,13617,143.25,14318.75,14339.25,20.5,14293.5,14467.5,174,13050.75,13057.25,6.5,13009.75,13153,143.25,14101.75,14126,24.25,14077.5,14237.5,160,13453,13460.25,7.25,13412.75,13556,143.25
15343.5,15367.75,24.25,15318.5,15462.75,144.25,13867.25,13871.5,4.25,13824.5,13967.75,143.25,14702.5,14723.5,21,14677.75,14835,157.25,13401.5,13407.75,6.25,13360.25,13503.75,143.5,14469.25,14493.25,24,14445,14605,160,13804,13811.25,7.25,13780.25,13906.75,126.5
15711.25,15735.25,24,15686,15847,161,14218,14222.25,4.25,14175.25,14318.5,143.25,15087.75,15089.75,2,15045,15202.5,157.5,13752,13758.75,6.75,13711,13854.5,143.5,14836.5,14860.75,24.25,14812.25,14972.5,160.25,14155,14161.75,6.75,14130.75,14257.5,126.75
16113.25,16118.25,5,16071,16214.5,143.5,14568.5,14573,4.5,14526,14669.25,143.25,15438,15458.5,20.5,15412.75,15570,157.25,14119,14126.25,7.25,14078.5,14221.75,143.25,15203.75,15228.5,24.75,15179.75,15339.75,160,14505.75,14512.75,7,14498,14625,127
16481,16485.5,4.5,16438.5,16598.5,160,14919,14923.75,4.75,14876.75,15020,143.25,15822,15824.75,2.75,15780,15937.5,157.5,14470,14477,7,14429.25,14572.5,143.25,15587.75,15594.75,7,15547,15707.25,160.25,14872.5,14880,7.5,14832.25,14975.75,143.5
