subID,trialNum,cntBalance,correct,rt,winner,p1conf,p2conf,p1rslt,p2rslt,
0uk,135,L,true,1552,1,0,0,1,0,
0uk,136,L,false,376,2,1,0,1,1,
0uk,137,L,true,473,2,1,1,1,1,
0uk,138,L,false,234,2,1,1,1,1,
0uk,139,L,true,373,2,0,0,0,1,
0uk,140,L,false,94,2,1,0,1,0,
0uk,141,L,false,49,1,1,1,1,1,
0uk,142,L,true,336,1,0,1,0,1,
0uk,143,L,true,2031,1,1,0,1,0,
0uk,144,L,false,799,1,0,1,1,0,
0uk,145,L,false,605,2,0,1,0,1,
0uk,146,L,false,791,1,0,0,1,1,
0uk,147,L,false,198,2,1,0,1,1,
0uk,148,L,false,436,1,0,0,0,1,
0uk,149,L,true,402,2,1,0,1,1,
0uk,150,L,true,409,2,1,0,1,1,
0uk,151,L,true,154,2,1,0,1,1,
0uk,152,L,true,164,2,1,1,1,1,
0uk,153,L,false,277,2,1,1,1,1,
0uk,154,L,false,289,1,1,1,1,1,
0uk,155,L,true,282,1,0,0,0,1,
0uk,156,L,true,139,2,0,1,1,1,
0uk,157,L,true,135,2,1,1,0,1,
0uk,158,L,true,433,2,1,0,0,1,
0uk,159,L,false,567,1,0,1,1,1,
0uk,160,L,false,200,2,0,0,0,0,
0uk,161,L,true,136,2,1,0,1,1,
0uk,162,L,true,171,2,1,0,1,1,
0uk,163,L,false,411,1,0,1,0,1,
0uk,164,L,false,121,2,0,0,1,1,
0uk,165,L,false,416,1,0,0,0,1,
0uk,166,L,true,277,1,1,1,1,1,
0uk,167,L,false,471,2,1,0,1,1,
0uk,168,L,true,125,2,0,0,1,1,
0uk,169,L,false,287,2,0,1,0,1,
0uk,170,L,false,348,1,0,1,1,1,
0uk,171,L,false,391,2,0,1,1,1,
0uk,172,L,false,1058,1,1,1,1,1,
0uk,173,L,true,84,1,1,1,1,1,
0uk,174,L,false,432,2,1,0,1,0,
0uk,175,L,true,398,2,1,1,0,1,
0uk,176,L,false,366,1,1,0,1,0,
0uk,177,L,false,119,2,0,0,0,1,
0uk,178,L,false,199,1,1,0,1,1,
0uk,179,L,true,71,1,0,0,1,1,
0uk,180,L,true,1512,1,1,1,1,1,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
0uk,181,L,false,4025,2,0,0,0,0,
0uk,182,L,false,396,1,1,0,1,1,
0uk,183,L,true,266,2,0,1,0,1,
0uk,184,L,false,615,1,1,1,1,1,
0uk,185,L,false,671,2,0,0,1,1,
0uk,186,L,true,129,2,0,1,1,0,
0uk,187,L,true,542,2,0,1,0,1,
0uk,188,L,false,248,2,0,1,1,1,
