subID,trialNum,cntBalance,correct,rt,winner,p1conf,p2conf,p1rslt,p2rslt,
ht1,1,R,false,4621,2,1,0,1,1,
ht1,2,R,false,6186,2,1,0,1,0,
ht1,3,R,false,2955,2,1,0,1,0,
ht1,4,R,true,6830,2,0,1,1,1,
ht1,5,R,false,6413,2,1,1,1,0,
ht1,6,R,true,5262,2,1,1,1,0,
ht1,7,R,true,3871,2,1,0,1,1,
ht1,8,R,true,4330,1,0,0,1,1,
ht1,9,R,true,4499,2,0,1,1,1,
ht1,10,R,true,5038,1,0,1,1,1,
ht1,11,R,true,4319,2,0,0,1,1,
ht1,12,R,true,4541,2,0,0,1,0,
ht1,13,R,true,3823,2,1,0,1,1,
ht1,14,R,true,1950,2,1,1,1,1,
ht1,15,R,true,2381,2,0,1,1,1,
ht1,16,R,true,3118,2,1,1,1,1,
ht1,17,R,true,2301,2,1,1,1,1,
ht1,18,R,false,2013,2,0,0,0,1,
ht1,19,R,true,3776,1,1,1,1,1,
ht1,20,R,true,2842,2,0,1,0,1,
ht1,21,R,true,1600,1,1,0,1,1,
ht1,22,R,true,3904,2,1,0,1,1,
ht1,23,R,false,2144,1,0,0,0,1,
ht1,24,R,false,2795,2,1,0,0,1,
ht1,25,R,true,2766,1,1,0,1,0,
ht1,26,R,true,1485,2,1,1,1,1,
ht1,27,R,true,1391,2,1,1,1,1,
ht1,28,R,false,1134,2,1,1,0,0,
ht1,29,R,true,2367,2,1,1,1,1,
ht1,30,R,true,1950,2,1,1,1,1,
ht1,31,R,true,4430,1,1,1,1,1,
ht1,32,R,false,1861,1,1,0,0,0,
ht1,33,R,false,2202,1,1,0,0,1,
ht1,34,R,false,7296,1,0,0,1,0,
ht1,35,R,true,5278,2,0,0,1,0,
ht1,36,R,true,6078,1,0,0,0,1,
ht1,37,R,true,2684,2,0,1,1,1,
ht1,38,R,true,3070,1,0,1,0,1,
ht1,39,R,false,4241,1,1,0,0,1,
ht1,40,R,true,1696,1,0,1,1,1,
ht1,41,R,false,2736,1,0,0,1,0,
ht1,42,R,true,3263,1,0,0,1,0,
ht1,43,R,false,7357,1,0,0,0,1,
ht1,44,R,true,5392,1,1,1,1,0,
ht1,45,R,true,1601,1,0,0,1,0,
ht1,46,R,true,2417,1,0,0,1,0,
ht1,47,R,false,4736,1,0,1,1,0,
ht1,48,R,true,4554,2,0,1,0,1,
ht1,49,R,true,2819,2,0,1,1,1,
ht1,50,R,true,1259,2,0,1,1,1,
ht1,51,R,true,1312,1,1,1,1,1,
ht1,52,R,true,1392,1,1,1,0,1,
ht1,53,R,true,1983,2,1,0,1,1,
ht1,54,R,false,1860,2,0,1,0,0,
ht1,55,R,true,3534,1,1,1,1,0,
ht1,56,R,true,1333,1,0,0,1,1,
ht1,57,R,true,2129,1,0,1,1,0,
ht1,58,R,true,1598,1,0,0,1,0,
ht1,59,R,true,1642,2,0,0,1,0,
ht1,60,R,true,1087,2,0,0,1,1,
ht1,61,R,false,1169,1,1,1,0,0,
ht1,62,R,true,2475,1,1,0,1,1,
ht1,63,R,true,1598,1,0,0,1,1,
ht1,64,R,false,1779,2,1,1,0,1,
ht1,65,R,true,1499,1,0,1,1,1,
ht1,66,R,true,3805,1,0,1,1,1,
ht1,67,R,true,2542,1,1,0,1,0,
ht1,68,R,false,2494,1,0,1,0,0,
ht1,69,R,false,1422,1,1,0,0,1,
ht1,70,R,true,3650,1,0,0,1,1,
ht1,71,R,false,4495,1,1,1,0,1,
ht1,72,R,false,1296,2,0,0,0,0,
ht1,73,R,true,3869,2,0,0,1,1,
ht1,74,R,true,6750,1,0,0,1,1,
ht1,75,R,true,2018,1,1,1,1,0,
ht1,76,R,false,2768,2,1,1,1,0,
ht1,77,R,false,3404,1,0,1,1,1,
ht1,78,R,false,2450,2,0,1,1,1,
ht1,79,R,false,2907,2,0,1,0,0,
ht1,80,R,false,2513,1,1,0,0,1,
ht1,81,R,true,1601,2,0,1,1,1,
ht1,82,R,false,1578,2,0,1,0,0,
ht1,83,R,true,1312,1,0,0,1,1,
ht1,84,R,true,1549,1,1,0,1,0,
ht1,85,R,true,2366,2,0,0,1,1,
ht1,86,R,true,1951,2,1,0,1,1,
ht1,87,R,true,2172,1,1,1,0,1,
ht1,88,R,false,1887,1,0,1,0,0,
ht1,89,R,true,3723,2,1,0,1,0,
ht1,90,R,false,5547,2,0,0,0,1,
ht1,91,R,true,2367,1,0,0,1,1,
ht1,92,R,true,1134,1,1,0,1,0,
ht1,93,R,true,1470,1,0,1,1,1,
ht1,94,R,false,2448,1,0,1,1,0,
ht1,95,R,true,2030,2,0,1,0,1,
ht1,96,R,true,3701,2,0,0,1,1,
ht1,97,R,true,1920,1,0,0,0,1,
ht1,98,R,true,1486,1,0,0,1,1,
ht1,99,R,true,3201,1,1,1,1,1,
ht1,100,R,false,11504,1,0,0,0,0,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
ht1,101,R,true,20487,2,0,0,1,1,
ht1,102,R,true,1202,1,1,1,1,1,
ht1,103,R,true,1373,2,1,0,1,0,
ht1,104,R,true,1296,1,1,0,1,1,
ht1,105,R,true,1498,2,1,0,1,1,
ht1,106,R,true,1442,1,0,0,0,1,
ht1,107,R,false,1566,2,1,0,0,1,
ht1,108,R,true,1818,1,0,1,0,1,
ht1,109,R,true,2303,1,1,1,1,0,
