subID,trialNum,cntBalance,correct,rt,winner,p1conf,p2conf,p1rslt,p2rslt,
aya,1,L,true,2311,2,0,1,0,1,
aya,2,L,false,2132,1,1,0,0,1,
aya,3,L,false,1577,1,1,1,0,0,
aya,4,L,true,1491,1,1,0,1,1,
aya,5,L,false,2575,2,1,0,0,1,
aya,6,L,true,2260,2,1,1,1,1,
aya,7,L,true,2326,2,0,0,1,1,
aya,8,L,true,1125,1,1,1,1,1,
aya,9,L,false,1721,2,1,1,1,0,
aya,10,L,true,1598,1,1,0,1,0,
aya,11,L,true,1050,1,1,1,1,1,
aya,12,L,true,1467,2,0,1,1,1,
aya,13,L,true,1152,1,0,0,0,1,
aya,14,L,true,919,1,1,1,1,1,
aya,15,L,true,1297,2,0,0,1,1,
aya,16,L,true,1005,1,1,1,1,1,
aya,17,L,true,813,1,1,1,1,1,
aya,18,L,true,871,2,0,1,1,1,
aya,19,L,true,878,1,0,0,0,1,
aya,20,L,true,1006,2,1,0,1,1,
aya,21,L,false,1060,1,0,0,0,1,
aya,22,L,true,1016,1,1,1,1,1,
aya,23,L,true,792,1,1,1,1,1,
aya,24,L,false,788,2,1,1,1,0,
aya,25,L,true,1176,1,1,1,1,1,
aya,26,L,true,812,2,0,0,1,1,
aya,27,L,false,335,2,1,0,0,1,
aya,28,L,false,1015,2,1,1,0,1,
aya,29,L,true,899,1,0,0,1,1,
aya,30,L,true,831,2,1,0,0,1,
aya,31,L,false,1325,2,1,0,1,1,
aya,32,L,false,1904,1,0,0,1,1,
aya,33,L,true,911,1,0,0,1,1,
aya,34,L,true,1159,2,1,1,1,0,
aya,35,L,true,630,2,0,0,0,1,
aya,36,L,false,685,2,1,1,0,1,
aya,37,L,true,309,2,0,1,0,1,
aya,38,L,true,793,2,1,0,1,1,
aya,39,L,true,2199,2,0,0,0,1,
aya,40,L,true,1166,2,0,1,1,1,
aya,41,L,false,1166,1,0,1,1,0,
aya,42,L,true,989,1,1,0,0,1,
aya,43,L,true,658,1,1,1,1,1,
aya,44,L,true,755,2,0,1,0,1,
aya,45,L,true,890,1,0,1,1,0,
aya,46,L,false,944,1,1,1,1,0,
aya,47,L,true,371,1,1,0,1,1,
aya,48,L,false,72,1,1,0,1,0,
aya,49,L,true,1007,1,1,1,0,1,
aya,50,L,true,1183,2,1,0,1,0,
aya,51,L,true,1183,1,1,0,1,0,
aya,52,L,false,1004,1,1,1,0,1,
aya,53,L,true,1129,1,0,0,1,1,
aya,54,L,false,2069,1,1,0,1,1,
aya,55,L,true,1048,2,1,1,1,1,
aya,56,L,false,1447,1,0,1,1,1,
aya,57,L,false,308,2,0,0,1,1,
aya,58,L,false,742,2,0,0,0,0,
aya,59,L,false,1039,1,1,0,1,0,
aya,60,L,false,1211,2,1,0,0,1,
aya,61,L,false,616,2,0,0,0,0,
aya,62,L,false,1047,2,0,0,1,1,
aya,63,L,true,958,1,0,0,1,1,
aya,64,L,true,977,1,1,1,1,1,
aya,65,L,true,751,1,0,0,1,1,
aya,66,L,true,775,1,1,1,1,1,
aya,67,L,true,1302,1,1,0,1,0,
aya,68,L,true,908,2,0,1,0,1,
aya,69,L,false,950,2,0,1,0,0,
aya,70,L,false,2214,1,0,0,0,1,
aya,71,L,true,710,1,0,1,1,1,
aya,72,L,true,767,1,0,0,0,1,
aya,73,L,true,791,2,0,0,1,1,
aya,74,L,true,858,1,1,1,1,0,
aya,75,L,false,1123,1,1,1,1,1,
aya,76,L,true,821,2,0,1,1,0,
aya,77,L,true,950,2,1,1,1,0,
aya,78,L,true,869,1,1,0,1,1,
aya,79,L,false,751,2,0,0,0,0,
aya,80,L,true,2334,2,0,1,0,1,
aya,81,L,true,1698,1,0,0,1,1,
