subID,trialNum,cntBalance,correct,rt,p1conf,p2conf,p1rslt,p2rslt,
9dq,143,l,true,1821,0,1,1,1,
9dq,144,l,true,2202,0,0,1,0,
9dq,145,l,false,1576,0,0,0,0,
9dq,146,l,false,2830,0,0,0,1,
9dq,147,l,true,2583,0,1,1,1,
9dq,148,l,true,1431,1,0,1,1,
9dq,149,l,true,1679,1,1,1,1,
9dq,150,l,false,1864,1,0,0,1,
9dq,151,l,true,2088,0,1,1,1,
9dq,152,l,false,1392,0,0,0,0,
9dq,153,l,true,1886,1,0,1,1,
9dq,154,l,true,1360,0,1,1,1,
9dq,155,l,true,1055,1,0,1,1,
9dq,156,l,false,2206,1,1,0,1,
9dq,157,l,true,2339,0,1,0,1,
9dq,158,l,true,1206,0,0,1,1,
9dq,159,l,true,1645,0,0,1,0,
9dq,160,l,false,1665,1,0,0,1,
9dq,161,l,false,1301,0,0,1,0,
9dq,162,l,true,3282,0,1,0,1,
9dq,163,l,true,2668,0,0,1,1,
9dq,164,l,true,1577,0,0,1,1,
9dq,165,l,true,1549,1,1,1,1,
9dq,166,l,true,1104,0,1,1,1,
9dq,167,l,true,1395,0,0,1,0,
9dq,168,l,true,4530,1,0,1,0,
9dq,169,l,true,950,0,0,1,1,
9dq,170,l,true,1925,0,0,0,1,
9dq,171,l,true,1543,0,1,0,1,
9dq,172,l,true,2563,0,1,1,1,
9dq,173,l,true,2958,0,1,1,1,
9dq,174,l,false,1301,1,0,0,1,
9dq,175,l,true,1397,0,0,1,1,
9dq,176,l,true,2985,1,1,0,1,
9dq,177,l,true,2767,0,1,1,1,
9dq,178,l,false,1358,1,0,0,1,
9dq,179,l,false,2832,1,0,0,1,
9dq,180,l,false,2134,0,1,1,0,
9dq,181,l,false,1656,0,1,0,0,
9dq,182,l,false,2110,1,0,0,0,
9dq,183,l,true,5742,1,1,0,1,
9dq,184,l,true,3240,1,0,0,1,
9dq,185,l,true,2414,1,0,1,1,
9dq,186,l,true,1118,0,1,1,1,
9dq,187,l,false,1742,1,1,1,0,
9dq,188,l,true,1362,0,1,1,1,
9dq,189,l,true,1158,1,0,1,1,
9dq,190,l,false,2663,0,1,0,1,
9dq,191,l,true,1789,1,0,1,1,
9dq,192,l,true,2640,0,1,1,1,
9dq,193,l,false,1808,0,1,0,1,
9dq,194,l,false,1840,1,1,1,0,
9dq,195,l,true,11261,0,0,1,0,
9dq,196,l,true,1378,1,1,1,1,
9dq,197,l,true,2184,0,0,1,0,
9dq,198,l,true,1463,1,0,1,1,
9dq,199,l,false,1994,1,0,0,1,
9dq,200,l,true,2323,1,0,1,0,
brk,brk,brk,brk,brk,brk,brk,brk,brk,
9dq,201,l,true,1028,0,1,1,1,
9dq,202,l,false,1608,1,1,0,1,
9dq,203,l,true,1894,1,1,1,1,
9dq,204,l,false,1469,1,0,0,1,
9dq,205,l,false,2213,0,0,1,0,
9dq,206,l,true,1199,1,1,1,1,
9dq,207,l,true,973,0,0,1,1,
9dq,208,l,false,2047,0,0,0,0,
9dq,209,l,true,2610,0,1,1,0,
9dq,210,l,false,1397,0,1,1,0,
9dq,211,l,true,914,0,0,1,1,
9dq,212,l,true,1253,1,1,1,1,
9dq,213,l,false,3617,1,0,1,0,
9dq,214,l,false,1261,1,1,1,0,
9dq,215,l,true,884,1,1,1,1,
9dq,216,l,false,1364,1,0,0,1,
9dq,217,l,true,1422,0,1,1,1,
9dq,218,l,false,2864,1,0,1,0,
9dq,219,l,false,1479,1,0,0,1,
9dq,220,l,true,894,0,1,1,1,
9dq,221,l,true,843,0,0,1,1,
9dq,222,l,false,967,1,1,0,0,
9dq,223,l,false,701,1,0,0,0,
9dq,224,l,false,549,0,0,0,0,
9dq,225,l,true,712,1,0,1,1,
9dq,226,l,true,947,0,1,1,1,
9dq,227,l,true,1334,0,1,1,1,
9dq,228,l,true,998,1,1,1,1,
9dq,229,l,true,928,0,0,1,1,
9dq,230,l,true,2286,0,1,0,1,
9dq,231,l,true,1174,1,0,1,0,
9dq,232,l,false,1261,1,1,0,1,
9dq,233,l,true,920,1,0,1,1,
9dq,234,l,true,784,1,0,1,1,
9dq,235,l,true,1518,0,0,1,0,
9dq,236,l,false,1999,1,0,0,1,
9dq,237,l,true,1751,1,1,1,0,
9dq,238,l,true,1629,1,0,1,0,
9dq,239,l,true,967,0,1,1,1,
9dq,240,l,true,1221,1,0,0,1,
9dq,241,l,true,911,0,0,1,1,
9dq,242,l,true,772,0,0,1,1,
9dq,243,l,true,1198,0,1,1,1,
9dq,244,l,true,855,0,1,1,1,
9dq,245,l,true,1201,1,1,1,1,
9dq,246,l,false,2513,0,0,0,1,
9dq,247,l,false,2648,0,0,0,0,
9dq,248,l,true,783,1,1,1,1,
9dq,249,l,true,810,0,0,1,0,
9dq,250,l,true,492,0,0,1,1,
9dq,251,l,true,558,1,1,1,1,
9dq,252,l,true,831,1,1,1,1,
9dq,253,l,true,639,1,0,1,0,
9dq,254,l,true,1501,0,1,1,0,
9dq,255,l,true,694,1,1,1,1,
9dq,256,l,false,1000,1,0,0,1,
9dq,257,l,false,679,0,1,0,1,
9dq,258,l,true,494,1,1,1,1,
9dq,259,l,true,1448,0,1,1,1,
9dq,260,l,false,1232,0,0,0,1,
9dq,261,l,true,844,1,0,1,1,
9dq,262,l,false,2701,1,0,1,0,
9dq,263,l,true,685,0,1,1,1,
9dq,264,l,true,615,0,0,1,1,
9dq,265,l,true,648,1,0,1,0,
9dq,266,l,true,534,1,0,1,1,
9dq,267,l,true,600,1,0,1,1,
9dq,268,l,false,784,0,0,0,1,
9dq,269,l,true,646,0,0,1,1,
9dq,270,l,true,647,1,1,1,1,
9dq,271,l,false,2101,0,1,0,0,
9dq,272,l,true,904,0,1,1,1,
9dq,273,l,true,1180,1,0,1,1,
9dq,274,l,true,2969,1,0,1,0,
9dq,275,l,false,438,1,0,0,0,
9dq,276,l,false,1427,0,0,0,1,
9dq,277,l,false,1549,1,1,0,1,
9dq,278,l,true,781,1,1,1,1,
9dq,279,l,true,1781,0,0,1,1,
9dq,280,l,true,727,1,0,1,1,
9dq,281,l,true,1036,0,1,1,0,
9dq,282,l,true,924,0,0,1,1,
9dq,283,l,true,812,0,0,1,1,
9dq,284,l,true,1397,0,0,1,0,
9dq,285,l,true,559,1,0,1,1,
9dq,286,l,true,541,0,1,1,1,
9dq,287,l,true,768,1,1,1,1,
9dq,288,l,true,551,1,0,1,1,
9dq,289,l,true,563,1,0,1,1,
9dq,290,l,false,2282,0,0,1,0,
9dq,291,l,false,1022,1,0,0,1,
9dq,292,l,true,709,0,0,1,0,
9dq,293,l,true,1059,1,1,1,1,
9dq,294,l,false,1334,1,0,0,1,
9dq,295,l,false,942,1,0,1,0,
9dq,296,l,true,567,0,0,1,0,
9dq,297,l,true,1330,0,1,1,1,
9dq,298,l,true,746,1,1,1,1,
9dq,299,l,true,663,1,1,1,1,
9dq,300,l,true,707,0,0,1,1,
brk,brk,brk,brk,brk,brk,brk,brk,brk,
9dq,301,l,true,1505,0,1,1,1,
9dq,302,l,false,1108,0,1,1,0,
9dq,303,l,true,1132,0,0,1,1,
9dq,304,l,true,2474,1,0,1,1,
9dq,305,l,false,1957,1,0,1,0,
9dq,306,l,true,928,0,1,1,1,
9dq,307,l,true,559,1,1,1,1,
9dq,308,l,true,551,1,0,1,1,
9dq,309,l,true,1263,0,0,1,1,
9dq,310,l,true,1382,0,1,1,1,
9dq,311,l,false,791,1,1,0,1,
9dq,312,l,true,718,0,1,1,1,
9dq,313,l,true,654,1,1,1,1,
9dq,314,l,true,667,0,0,0,1,
9dq,315,l,true,606,0,0,1,1,
9dq,316,l,true,588,1,1,1,1,
9dq,317,l,false,1182,0,1,1,0,
9dq,318,l,true,657,1,0,1,0,
9dq,319,l,true,638,0,0,1,1,
9dq,320,l,true,828,1,1,1,1,
9dq,321,l,false,919,1,1,0,1,
9dq,322,l,true,605,1,0,1,1,
9dq,323,l,false,582,1,1,0,1,
9dq,324,l,true,561,0,0,1,1,
9dq,325,l,true,805,0,0,1,0,
9dq,326,l,true,927,1,0,1,0,
9dq,327,l,true,716,1,1,1,1,
9dq,328,l,true,1584,0,1,0,1,
9dq,329,l,true,691,1,1,1,1,
9dq,330,l,false,1190,1,1,1,0,
9dq,331,l,true,692,1,0,1,1,
9dq,332,l,true,678,1,1,1,1,
9dq,333,l,true,1472,1,0,1,0,
9dq,334,l,false,788,1,1,0,1,
9dq,335,l,true,960,1,1,1,1,
9dq,336,l,true,694,0,0,1,1,
9dq,337,l,true,546,0,1,1,1,
9dq,338,l,true,734,1,1,1,1,
9dq,339,l,false,585,0,1,0,0,
9dq,340,l,false,1461,1,0,0,1,
9dq,341,l,true,1687,0,0,1,0,
9dq,342,l,true,1574,1,0,1,0,
9dq,343,l,true,811,1,1,1,1,
9dq,344,l,true,635,0,1,1,1,
9dq,345,l,false,809,0,1,0,1,
9dq,346,l,true,882,0,0,1,1,
9dq,347,l,false,855,0,0,0,1,
9dq,348,l,false,547,1,0,0,0,
9dq,349,l,false,784,0,0,1,1,
9dq,350,l,true,1157,1,1,1,0,
9dq,351,l,true,654,0,1,1,1,
9dq,352,l,false,1015,0,0,0,0,
9dq,353,l,true,934,1,1,1,0,
9dq,354,l,true,507,1,0,1,1,
9dq,355,l,true,1062,0,0,1,1,
9dq,356,l,true,538,0,1,1,1,
9dq,357,l,false,539,0,1,0,1,
9dq,358,l,false,435,0,1,1,1,
9dq,359,l,false,609,0,1,0,0,
9dq,360,l,false,672,0,0,0,0,
9dq,361,l,false,1206,1,0,1,1,
9dq,362,l,true,790,1,0,1,0,
9dq,363,l,true,667,0,0,1,1,
9dq,364,l,true,671,0,0,1,1,
9dq,365,l,true,667,1,0,1,1,
9dq,366,l,true,701,1,1,1,1,
9dq,367,l,true,592,1,1,1,0,
9dq,368,l,true,583,0,0,1,1,
9dq,369,l,true,690,1,0,1,1,
9dq,370,l,true,596,1,1,1,1,
9dq,371,l,true,718,0,0,1,1,
9dq,372,l,true,930,1,1,1,1,
9dq,373,l,true,570,0,1,1,1,
9dq,374,l,false,2139,1,1,0,1,
9dq,375,l,true,879,0,0,0,1,
9dq,376,l,true,576,0,1,1,1,
9dq,377,l,true,764,0,0,1,0,
9dq,378,l,true,996,1,1,1,1,
9dq,379,l,true,475,1,1,1,1,
9dq,380,l,true,718,1,0,1,1,
9dq,381,l,true,755,0,1,1,1,
9dq,382,l,false,574,1,1,0,0,
9dq,383,l,true,789,0,1,1,0,
9dq,384,l,false,701,0,0,0,0,
9dq,385,l,true,1078,1,0,1,0,
9dq,386,l,true,717,0,0,1,1,
9dq,387,l,false,1828,0,1,0,1,
9dq,388,l,true,3608,1,1,1,1,
9dq,389,l,true,1797,0,1,0,1,
9dq,390,l,false,3006,0,0,1,0,
9dq,391,l,true,523,0,1,1,1,
9dq,392,l,false,517,1,1,0,1,
9dq,393,l,true,859,1,1,1,1,
9dq,394,l,false,826,0,1,0,1,
9dq,395,l,true,726,0,0,1,1,
9dq,396,l,false,2139,1,1,0,1,
9dq,397,l,true,767,0,0,1,1,
9dq,398,l,false,739,0,0,0,0,
9dq,399,l,false,796,0,1,0,1,
9dq,400,l,true,653,1,0,1,1,
