subID,trialNum,cntBalance,correct,rt,p1conf,p2conf,p1rslt,p2rslt,
d5l,1,l,false,13958,1,1,1,1,
d5l,2,l,false,1733,1,1,1,1,
d5l,3,l,true,2824,0,0,0,0,
d5l,4,l,false,2835,0,0,1,1,
d5l,5,l,true,224,0,1,1,1,
d5l,6,l,false,1669,0,1,0,0,
d5l,7,l,false,5943,0,0,1,0,
d5l,8,l,true,1576,1,0,1,0,
d5l,9,l,false,5481,1,0,0,1,
d5l,10,l,true,3043,0,0,1,1,
d5l,11,l,true,2690,0,0,1,1,
d5l,12,l,false,1701,1,1,1,1,
d5l,13,l,true,925,0,0,1,1,
d5l,14,l,true,581,0,0,1,1,
d5l,15,l,false,126,0,1,0,0,
d5l,16,l,false,634,0,1,1,1,
d5l,17,l,false,259,0,1,0,1,
d5l,18,l,true,487,0,1,1,1,
d5l,19,l,false,96,1,0,1,1,
d5l,20,l,false,198,1,1,1,1,
d5l,21,l,true,419,1,0,1,0,
d5l,22,l,false,676,1,1,0,1,
d5l,23,l,true,1943,0,0,0,1,
d5l,24,l,true,979,0,1,1,0,
d5l,25,l,false,126,0,1,1,0,
d5l,26,l,false,423,0,1,1,1,
d5l,27,l,true,1044,0,0,0,0,
d5l,28,l,true,230,1,1,1,1,
d5l,29,l,true,5109,1,1,0,1,
d5l,30,l,false,846,1,0,1,1,
d5l,31,l,true,1401,1,0,0,1,
d5l,32,l,false,783,1,1,0,1,
d5l,33,l,false,357,0,1,1,1,
d5l,34,l,true,4206,0,1,1,1,
d5l,35,l,false,1091,1,0,1,1,
d5l,36,l,true,105,1,1,1,1,
d5l,37,l,false,715,1,1,0,0,
d5l,38,l,false,222,1,1,1,1,
d5l,39,l,true,670,1,0,0,0,
d5l,40,l,false,1162,1,1,0,1,
d5l,41,l,false,664,1,0,1,1,
d5l,42,l,true,53,0,1,1,1,
d5l,43,l,true,597,0,0,1,1,
d5l,44,l,true,198,0,1,0,1,
d5l,45,l,true,688,1,0,0,0,
d5l,46,l,true,479,0,0,0,1,
d5l,47,l,false,565,0,1,0,1,
d5l,48,l,false,400,1,0,1,1,
d5l,49,l,false,592,0,0,0,0,
d5l,50,l,true,13,0,1,1,1,
d5l,51,l,true,183,0,1,0,1,
d5l,52,l,true,135,1,1,1,1,
d5l,53,l,true,724,1,1,1,0,
d5l,54,l,true,534,1,0,1,0,
d5l,55,l,true,179,0,1,1,0,
d5l,56,l,false,396,1,0,1,1,
d5l,57,l,true,354,0,1,0,1,
d5l,58,l,false,198,0,0,1,1,
d5l,59,l,false,95,1,1,1,1,
d5l,60,l,false,468,1,0,1,0,
d5l,61,l,false,55,1,1,1,1,
d5l,62,l,true,367,0,0,1,1,
d5l,63,l,false,166,1,0,0,0,
d5l,64,l,true,1253,1,0,0,1,
d5l,65,l,false,568,0,1,1,1,
d5l,66,l,true,388,0,1,0,1,
d5l,67,l,false,2383,0,1,1,1,
d5l,68,l,false,984,0,1,1,1,
d5l,69,l,false,694,1,0,1,0,
d5l,70,l,true,214,0,0,1,0,
d5l,71,l,true,182,0,0,1,1,
d5l,72,l,false,538,1,0,0,0,
d5l,73,l,true,331,1,0,1,0,
d5l,74,l,true,196,0,0,1,1,
d5l,75,l,false,1924,0,0,0,0,
d5l,76,l,true,36,0,1,1,1,
d5l,77,l,true,286,0,0,0,1,
d5l,78,l,false,117,1,1,1,1,
d5l,79,l,false,430,0,1,1,1,
d5l,80,l,false,437,0,1,1,1,
d5l,81,l,true,918,1,1,1,1,
d5l,82,l,true,771,1,0,0,1,
d5l,83,l,true,298,1,1,1,1,
d5l,84,l,true,444,1,1,0,1,
d5l,85,l,false,410,1,1,0,1,
d5l,86,l,false,96,0,1,1,1,
d5l,87,l,false,71,1,0,1,1,
d5l,88,l,false,168,0,1,1,0,
d5l,89,l,false,291,1,0,1,0,
d5l,90,l,false,69,1,1,1,1,
d5l,91,l,true,228,0,1,1,1,
d5l,92,l,false,242,0,0,0,1,
d5l,93,l,false,153,0,0,1,0,
d5l,94,l,false,2143,1,0,1,0,
d5l,95,l,true,1872,1,0,1,0,
d5l,96,l,true,613,1,0,0,1,
